adm_cd,gu,dong,x,n,long,lat
1121057,관악구,행운동,7,29413,126.9606222,37.48090362
1121058,관악구,낙성대동,3,17434,126.9600458,37.46723064
1121061,관악구,중앙동,4,15487,126.950618,37.48412242
1121062,관악구,인헌동,2,26154,126.966619,37.47207782
1121063,관악구,남현동,0,18274,126.9766402,37.46247162
1121064,관악구,서원동,1,23278,126.9334447,37.48060171
1121065,관악구,신원동,3,18675,126.9266988,37.47930041
1121066,관악구,서림동,2,23689,126.9392101,37.47354846
1121068,관악구,신사동,3,24838,126.9187529,37.4856255
1121069,관악구,신림동,8,23128,126.9276129,37.48690034
1121071,관악구,난향동,3,15420,126.9182663,37.46158877
1121072,관악구,조원동,3,18786,126.9075252,37.48293838
1121073,관악구,대학동,4,24921,126.9484818,37.4534754
1121078,관악구,은천동,4,33631,126.9422091,37.48682133
1121079,관악구,성현동,1,29394,126.9511664,37.48951457
1121080,관악구,청룡동,4,36482,126.9458841,37.47804927
1121081,관악구,난곡동,6,27216,126.9210486,37.47049534
1121082,관악구,삼성동,2,22041,126.9301374,37.46066891
1121083,관악구,미성동,6,31056,126.9154263,37.4759385
1122051,서초구,서초1동,4,20711,127.0201386,37.48695548
1122052,서초구,서초2동,1,26595,127.0279102,37.488817
1122053,서초구,서초3동,5,32769,127.0095921,37.48543127
1122054,서초구,서초4동,1,31089,127.0199641,37.49898522
1122055,서초구,잠원동,1,26946,127.0130388,37.51763843
1122056,서초구,반포본동,0,2000,126.9864759,37.50628944
1122057,서초구,반포1동,4,34815,127.016631,37.50550591
1122058,서초구,반포2동,0,15801,126.9956951,37.50637942
1122059,서초구,반포3동,0,22245,127.0035922,37.5124083
1122060,서초구,반포4동,0,19807,127.003289,37.49958086
1122061,서초구,방배본동,3,21083,126.9877656,37.49494886
1122062,서초구,방배1동,1,16980,126.9963028,37.48491251
1122063,서초구,방배2동,2,19474,126.9884853,37.47301542
1122064,서초구,방배3동,2,18861,126.9978999,37.47431989
1122065,서초구,방배4동,2,23817,126.990987,37.48981879
1122066,서초구,양재1동,2,43408,127.0225308,37.46955773
1122067,서초구,양재2동,0,22144,127.0459051,37.45114771
1122068,서초구,내곡동,3,17622,127.070548,37.45652174
1123051,강남구,신사동,2,16213,127.0213951,37.5257178
1123052,강남구,논현1동,4,22702,127.0264959,37.51190951
1123053,강남구,논현2동,0,21331,127.0362183,37.5152058
1123058,강남구,삼성1동,3,13136,127.0606281,37.51539702
1123059,강남구,삼성2동,0,30692,127.0487603,37.51183935
1123060,강남구,대치1동,0,24199,127.0589654,37.49339121
1123063,강남구,대치4동,0,20079,127.054899,37.50166055
1123064,강남구,역삼1동,10,36590,127.0354909,37.50088902
1123065,강남구,역삼2동,3,36378,127.044891,37.49850209
1123066,강남구,도곡1동,1,21539,127.0409758,37.48904528
1123067,강남구,도곡2동,1,33261,127.0496537,37.48821111
1123068,강남구,개포1동,2,6489,127.0647095,37.4792839
1123071,강남구,개포4동,3,23870,127.0532365,37.47555236
1123072,강남구,일원본동,4,23291,127.0846745,37.48236971
1123073,강남구,일원1동,0,15214,127.089246,37.49338576
1123081,강남구,개포3동,0,17585,127.0793166,37.49547357
1123075,강남구,수서동,2,14870,127.1005693,37.48683684
1123076,강남구,세곡동,3,43396,127.1043475,37.47107468
1123077,강남구,압구정동,2,26446,127.0334835,37.53026671
1123078,강남구,청담동,5,25911,127.0505033,37.52453792
1123079,강남구,대치2동,2,36663,127.0664154,37.50057536
1123080,강남구,개포2동,0,27945,127.067635,37.48647682
1124051,송파구,풍납1동,5,13451,127.1142997,37.5382393
1124052,송파구,풍납2동,0,24953,127.1101272,37.52985047
1124053,송파구,거여1동,1,12614,127.1416763,37.49438602
1124054,송파구,거여2동,4,18806,127.1471747,37.49237517
1124055,송파구,마천1동,1,19071,127.1557246,37.49478347
1124056,송파구,마천2동,4,18866,127.1514576,37.50032843
1124057,송파구,방이1동,0,15766,127.1223151,37.50977183
1124058,송파구,방이2동,3,27015,127.1138263,37.51325463
1124059,송파구,오륜동,1,18079,127.1285076,37.51765847
1124060,송파구,오금동,2,38654,127.1343985,37.50398961
1124061,송파구,송파1동,1,24176,127.1103206,37.50716769
1124062,송파구,송파2동,1,19283,127.1168312,37.50283563
1124063,송파구,석촌동,1,32169,127.1024623,37.50272362
1124064,송파구,삼전동,1,30695,127.0919059,37.50172021
1124065,송파구,가락본동,1,26523,127.1216395,37.49721686
1124066,송파구,가락1동,2,27365,127.108235,37.49532907
1124067,송파구,가락2동,1,32406,127.130643,37.49585964
1124068,송파구,문정1동,1,20198,127.1268593,37.48817304
1124069,송파구,문정2동,0,29072,127.1191361,37.48069393
1124071,송파구,잠실본동,5,28439,127.0822939,37.50550699
1124075,송파구,잠실4동,0,21376,127.1081523,37.52125459
1124077,송파구,잠실6동,0,16905,127.0999816,37.51906528
1124078,송파구,잠실7동,0,9564,127.0740976,37.50748108
1124079,송파구,잠실2동,2,35145,127.0788194,37.51771946
1124080,송파구,잠실3동,0,34475,127.0943193,37.51363837
1124081,송파구,장지동,6,29693,127.131629,37.48278895
1124082,송파구,위례동,0,39206,127.1412431,37.4816611
1125077,강동구,상일제2동,0,10200,127.1773225,37.55195629
1125076,강동구,상일제1동,0,38929,127.1648423,37.55074458
1125053,강동구,명일1동,2,25941,127.1459406,37.5503714
1125054,강동구,명일2동,2,17568,127.1542047,37.54828868
1125055,강동구,고덕1동,0,24417,127.1503072,37.56334718
1125056,강동구,고덕2동,1,22329,127.1616393,37.56586515
1125058,강동구,암사2동,2,15252,127.1232422,37.55738056
1125059,강동구,암사3동,1,17947,127.1385091,37.56150499
1125061,강동구,천호1동,2,26973,127.1385817,37.54631851
1125063,강동구,천호3동,5,27000,127.1331959,37.53965387
1125065,강동구,성내1동,1,20045,127.1255189,37.52876408
1125066,강동구,성내2동,1,24106,127.1277368,37.53436452
1125067,강동구,성내3동,1,23346,127.1337967,37.52840356
1125070,강동구,둔촌1동,0,144,127.1404347,37.52314517
1125071,강동구,둔촌2동,1,24785,127.1474138,37.53151448
1125072,강동구,암사1동,1,34782,127.1345856,37.551855
1125073,강동구,천호2동,5,33753,127.1222751,37.54469098
1125074,강동구,길동,2,45973,127.1459068,37.53972505
1117073,구로구,오류2동,4,39026,126.8383722,37.48526514
1125075,강동구,강일동,3,32982,127.172622,37.56894168
